ID,Tes
1,está a discusión en lo general y en lo particular el dictamen con proyecto de decreto. Con base en lo dispuesto por el artículo ciento ocho del Reglamento para el Gobierno Interior del Congreso General se concede el uso de la tribuna a la ciudadana Senadora Laura Pavón Jaramillo para fundamentar el dictamen a nombre de las comisiones. Con su venia señor Presidente. Señoras y señores Senadores el Fondo de las Naciones Unidas para la Infancia ha calculado que en años recientes se incorporan anualmente alrededor de un millón de niños al mercado sexual en el mundo atrapados por personas y organizaciones criminales o bien orillados por la pobreza o por ambos y cabe subrayar que en este grave problema afecta en mayor medida a las niñas porque además de su vinculación con problemas de violencia intrafamiliar y doméstica se relaciona con la [Anterior]discriminación[Siguiente] de género. En todos estos casos los niños y las niñas son objetos de abusos que constituyen una flagrante violación a sus derechos y a los principios y valores que enaltecen la vida humana. Las causas de estos problemas son múltiples y complejas influyen la pobreza la desintegración familiar la ignorancia y el maltrato pero también contribuyen a su proliferación la corrupción la ausencia de marcos legislativos específicos la lascitud en el cumplimiento de las leyes y la presencia de redes delictivas. De cualquier manera es obvio que nos encontramos ante fenómenos evidentemente graves y muy probablemente bajo una dinámica de crecimiento. Estudios recientes rebelan el incremento de menores que trabajan o viven en las calles de la pornografía y la prostitución sexual de menores. Estos problemas se agudizan en las grandes metrópolis en los centros turísticos y zonas fronterizas. En el mismo sentido el Informe de la Relatora de las Naciones Unidas
2,Penales se reforma para considerar como delitos graves los señalados por los artículos doscientos uno y doscientos uno bis correspondientes a corrupción sexual de menores y pornografía infantil. Las reformas y adiciones que se han descrito y que forman la sustancia del dictamen que se presentan constituyen uno de los esfuerzos más importantes para acotar definir prevenir y castigar con todo el peso de la ley las conductas delictivas señaladas. A diez años de la Convención sobre los Derechos del Niños que fuera adoptada por la Asamblea General de las Naciones Unidas y a poco más de nueve de que nuestro país hubiera formalizado su adhesión a dicho instrumento internacional y no obstante los importantes logros alcanzados hasta la fecha seguimos buscando perfeccionar nuestra legislación buscando elevar las condiciones y calidad de vida para la niñez mexicana protegiéndola de todo maltrato [Anterior]discriminación[Siguiente] y abuso. Estamos así cumpliendo con los preceptos contenidos en la Convención sobre los derechos del niño en el sentido de hacer reales los compromisos de México para adoptar todas las medidas legislativas necesarias a fin de dar efectividad a los derechos reconocidos en este instrumento así como el compromiso específico de protegerlos contra todas las formas de explotación y de abuso sexual. Las disposiciones señaladas dejan a salvo la trascendencia que tiene la educación y la información para los niños en materia de sexualidad desarrollo biológico y salud que diversas instituciones imparten en nuestro país sin otro fin que el de contribuir a un desarrollo más equilibrado y consciente de nuestros niños. Por todo lo anterior el dictamen que hoy se somete a la consideración de esta Honorable Cámara de Senadores constituye un avance importante hacia la plena vigencia de los derechos de las niñas y de los niños de México las Comisiones Unidas pues están seguras
3,por la Conferencia General de la Organización Internacional del Trabajo. Para los efectos de lo dispuesto por el artículo setenta y seis fracción primera de la Constitución Política de los Estados Unidos Mexicanos y con fundamento en lo dispuesto por el artículo veintiuno fracción tercera del Reglamento para el Gobierno Interior del Congreso General los dos instrumentos se turnan a las Comisiones Unidas de Relaciones Exteriores Quinta y de Trabajo y Previsión Social para su estudio y dictamen correspondiente. Continúe la Secretaría. Se recibió otro oficio con el que remite comunicación suscrita por la titular de la Secretaría de Relaciones Exteriores en relación con la Convención sobre Nacionalidad de la Mujer. Asimismo se recibió otro oficio en relación con la Convención sobre la Eliminación de todas las formas de [Anterior]discriminación[Siguiente] contra la mujer. Para los efectos de lo dispuesto por el artículo setenta y seis fracción primera de la Constitución Política de los Estados Unidos Mexicanos y con fundamento en lo dispuesto por el artículo veintiuno fracción tercera del Reglamento para el Gobierno Interior del Congreso General ambos instrumentos se turnan a las Comisiones Unidas de Relaciones Exteriores Quinta y de Equidad y Género para su estudio y dictamen correspondiente. Continúe la Secretaría. Se recibió otro oficio con el que remite comunicación suscrita por la titular de la Secretaría de Relaciones Exteriores en relación con el Pacto Internacional de Derechos Civiles y Políticos. Para los efectos de lo dispuesto por el artículo setenta y seis fracción primera de la Constitución
4,de la identidad mexicana seamos ahora partícipes de la diversidad mexicana. Digo cultura y digo conocimiento. Digo cultura y digo de nuevo educación pero digo educación y pienso no sólo en escuelas si no en talleres fábricas en centros de salud en comunicaciones y pienso en hogares. Digo educación y pienso en capital humano no sólo abundante sino enérgico inteligente y necesitado de instrumentos y hábitat básicos para rendir óptimamente sus frutos. Digo educación y pienso en iniciativas ciudadanas pienso en la vida municipal pienso en educación y pienso en política fiscales ahorro inversión atracción de capitales productivos liberación de la mujer protección del medio ambiente fortalecimiento de la empresa privada productiva del Estado regulador y de las organizaciones de la sociedad civil que le den en su conjunto el techo protector suficiente para su desarrollo a las mayorías desposeídas de México. Pienso en educación para eliminar la injusticia el abuso la [Anterior]discriminación[Siguiente] la falta de respeto a nuestros conciudadanos y sobre todo la corrupción la corrupción que es la forma más brutal de robarles a los pobres. Pienso en educación y pienso en una cultura de la legalidad que despida para siempre la incultura de la arbitrariedad. Pienso en educación y pienso en tolerancia pienso en educación y pienso en experiencia pero pienso en experiencia y pienso en destino destino de los actos y destino de las palabras. Don Belisario Domínguez unió ambos destinos habló y actuó. Demostró que no es cierto que sólo la acción cuenta y la palabra no importe para él es su gran lección la palabra y la acción caminaban de la mano en días de sol y en noches turbias. No puedo pasar por alto como mexicano de hoy que don Belisario Domínguez era chiapaneco. Sin duda él no estaría hoy ausente de las dramáticas realidades de su Estado natal Estado de frontera Estado límite de las contradicciones carencias y potencias de México como
5,anuales de la Comisión de Derechos Humanos podemos concluir que este organismo público se ha dedicado sustancialmente a ofrecer un frío recuento de oficios actividades cursos publicaciones entrevistas conferencias de prensa expedientes tramitados y recomendaciones emitidas por lo que el Grupo Parlamentario del Partido de la Revolución Democrática en este Senado de la República no considera satisfactoria la labor realizada por la actual Presidenta de la Comisión de Derechos Humanos y del Consejo Consultivo. Otro aspecto de la gravedad de esta situación se ubica en un punto que se dejó excluido y que tiene que ver con los derechos laborales los cuales forman ya parte de lo que hoy se conoce como Derechos Humanos de Tercera Generación. La importancia de la comisión tenga injerencia en materia laboral sería fundamental para detener las constantes violaciones a que se ven sometidos infinidad de trabajadores por parte de empresas asentadas en el país quienes sufren [Anterior]discriminación[Siguiente] laboral especialmente grave en el condicionamiento del empleo raquítica remuneración etcétera agravado por una actuación muchas veces parcial y contraria a los trabajadores de los tribunales laborales federales. Por ello era indispensable y urgente que las reformas constitucionales para adecuar nuestro marco legal no quedaran truncas por muy debajo de las facultades que tienen otras naciones organismos de la misma naturaleza. Lo que no logran explicar los legisladores del Revolucionario Institucional es que cuando hablan de reformas estructurales en materia de privatizaciones por las necesidades de insertar nuestro país en los procesos de globalización no aceptan los mismos argumentos para impulsar reformas que inserten a México en los procesos de reformas en materia de derechos humanos que de manera permanente realizan otros países. En esta ocasión los legisladores hemos dejado pasar la oportunidad para darnos un marco jurídico moderno actualizado para
6,no creo congruencia y deberíamos de sustentar un dictamen con bases sólidas porque pues se puede revisar esto. Ahora todo lo anterior no indica que mi partido o yo en lo particular estemos en contra del dictamen. Se va a votar a favor y yo también pero yo en lo particular hago una reserva que considero debe entenderse como que no estamos satisfechos que hay gran adelanto pero que está pendiente todavía una asignatura dar a las Comisiones de Derechos Humanos la capacidad de ocuparse de quejas en las tres áreas. México al igual que la mayor parte de los países de América ha asumido compromisos internacionales en diversos tratados sobre derechos humanos el más reciente y más específico es la Convención Americana sobre Derechos Humanos del año de mil novecientos sesenta y nueve que por haberse firmado en San José de Costa Rica es comúnmente conocida como pacto de San José. México se comprometió entre otros aspectos a tratar sin [Anterior]discriminación[Siguiente] alguna en su legislación a todos los derechos. Yo creo que mantener este párrafo es una contradicción entre los tratados internacionales y el que acabo de mencionar fue aprobado por este Senado y ahora decidí teniendo la oportunidad gracias a las iniciativas inclusive de la Senadora Payán eliminarlo. Hay un párrafo en el dictamen que sirvió de base en la resolución en la Cámara de Diputados como que da esperanza de que se puede ver pronto porque después de afirmar por qué no se elimina la incompetencia de estas comisiones dice a la letra y este párrafo también está ratificado por el dictamen preparado por las Comisiones Unidas del Senado dice: es por estas consideraciones que la intervención de los organismos protectores de derechos humanos en los ámbitos mencionados: electoral laboral y jurisdiccional no nos ha parecido urgente. A mí me llamó la atención este parrafito de parte de un Poder Legislativo.
7,OEA hace diez años. También por estas razones Canadá y México se arriesgaron a negociar el te-ele-ce-a-eme con Estados Unidos. Y también por estas razones los líderes del Hemisferio en la Cumbre de las Américas en mil novecientos noventa y cuatro apoyaron un proyecto y un plan de acción comprensivos para un futuro común. En Miami y el año pasado en Santiago proclamamos que la piedra angular de este proyecto es una mayor prosperidad compartida. Y reafirmamos que la creación de una área de libre comercio de las Américas es el mejor medio para lograrla. Sin embargo señoras y señores también expusimos claramente que la integración económica sola no podría producir la calidad de vida a la cual todos aspiramos sin un compromiso igualmente sólido a consolidar la democracia y a superar las desigualdades sociales promoviendo la educación y eliminando la [Anterior]discriminación[Siguiente] racial. En el plan de acción de Santiago nos comprometimos a trabajar en todas estas áreas. Y en el año transcurrido desde entonces se han hecho progresos concretos en el cumplimiento de esta ambiciosa agenda. La lucha contra el flagelo de la droga ilegal es sólo un ejemplo. En relación con este campo me alegra el hecho de que mi propuesta de crear un grupo de diálogo sobre drogas haya progresado. Canadá ha presentado algunas ideas sobre cómo se podría trabajar conjuntamente para identificar y contrarrestar el impacto corrosivo del comercio de la droga sobre la juventud y la familia sobre los derechos humanos y las instituciones democráticas. Canadá está empeñado en progresar en todas estas áreas fundamentales para lograr una prosperidad realmente compartida en el Hemisferio. Creemos que estos progresos permitirán avanzar paralelamente en las negociaciones del Acuerdo de Libre Comercio de las Américas desde que Canadá ocupa la Presidencia del Comité de
8,tiene mucho eco en el Seno de Acción Nacional los cincuenta años de vida de la declaración en donde los panistas encontramos no sólo un sentido del valor material de todos los seres humanos sino también un sentido de su trascendencia en el destino personal de cada uno de nosotros. Así lo sostuvo el pensamiento de González Luna y de Maritain pensadores contemporáneos que supieron con sus escritos engrandecer la historia de sus pueblos. La Declaración significó el principio de fin de los gobiernos dictatoriales o autoritarios y sepultó los disfraces que se utilizaban diseñados por una equivocada idea de principio de no intervención que servía para cometer abusos y atropellos contra sus gobernados. En estos años de fin de siglo sin lugar a dudas la Declaración seguirá siendo freno a cualquier abuso de poder inspiración para evitar situaciones humillantes de opresión o [Anterior]discriminación[Siguiente] como es el caso de la problemática de los migrantes y los desplazados y los grandes grupos humanos de los sin patria las luchas étnicas que provocan genocidios inspirados en falsas ideas fundamentalistas. Puede ser la Declaración una guía de principios éticos mínima para normar la nueva era de la globalización que nos permita ir fortaleciendo una ética mundial para nuestro tiempo con profundos cimientos humanistas que den coherencia a esa agobiante tendencia comercial avasalladora y creciente pero muchas veces huérfana de valores éticos. Celebramos sentidamente todo lo que significa la Declaración Universal y renovamos nuestro compromiso para luchar contra el hambre la opresión y la pobreza en cualquier parte del mundo en donde exista. Hacemos de esta ocasión un momento propicio para renovar nuestra fe en el valor sagrado de cada hombre y de cada mujer en la confianza de que al fin prevalecerá la parte bondadosa que existe en el corazón de la humanidad y que el
9,del Trabajo que establece una serie de disposiciones congruentes con lo que mi partido expuso al pueblo de México en su plataforma política en la última elección federal. Establecemos dentro del capítulo de las obligaciones y prohibiciones de los empleadores una de ellas como obligación de las empresas contratar a nombre de los trabajadores y a favor de terceros o de su familia según sean las personas designadas por el trabajador un seguro de vida de acuerdo con las condiciones económicas de la empresa cuando la posibilidad de contratarlo por el empleador hubiere sido determinada por el juez de lo social. Dentro de las prohibiciones y como complemento de la igualdad labor entre el hombre y la mujer establecemos como prohibición para los empleador el exigir o solicitar a las mujeres la presentación del certificado médico de embarazo como condición indispensable para establecer la posibilidad de concederle una plaza o empleo o concediendo el empleo haga [Anterior]discriminación[Siguiente] en el pago del salario. Para proteger el derecho de asociación y sobre todo de asociación política de los trabajadores establecemos la prohibición de obligar a los trabajadores por coacción o por cualquier otro medio a ingresar o afiliarse a un partido político determinado. Estas son reformas a la Ley Federal del Trabajo. Las otras dos iniciativas son congruentes con la anterior presentadas de reformas al artículo ciento veintitrés de la Ley Federal del Trabajo. Al artículo ciento veintitrés además de la Constitución Política de los Estados Unidos Mexicanos que establece la sustitución de las Juntas de Conciliación y Arbitraje por jueces de lo social y su incorporación al Poder Judicial Federal. Se hacen pues las adecuaciones a los artículos noventa y cuatro noventa y siete y ciento uno de la Constitución Política de los Estados
10,en tanto podemos rebatir que los recursos para ese financiamiento existen. El problema es que o están en las manos muertas del capital especulativo y están en los bolsillos corruptos de los funcionarios públicos. Muchas gracias. Para hablar sobre otro asunto se concede el uso de la palabra al Senador Mario Saucedo Pérez a nombre de la Comisión de Equidad y Género hasta por diez minutos. Gracias señor presidente. Compañeras y compañeros legisladores hoy se celebra un aniversario más del día Internacional de la violencia sexual y familiar en contra de las mujeres. Hace un año ésta Cámara aprobó la Ley contra la Violencia Intrafamiliar incluyéndose la violencia sexual en la pareja. Ello representó un logro importante en la lucha por la igualdad y en contra de la [Anterior]discriminación[Siguiente] de las mujeres. Sin embargo la realidad nos muestra cómo persisten las prácticas que niegan la igualdad y el respeto de los derechos humanos de la mujeres mismos que se han reflejado en la nula investigación sobre los ya ciento treinta asesinatos de jóvenes mujeres trabajadoras en Ciudad Juárez Chihuahua en la violación tumultuaria de los policías a las niñas de la Delegación Tláhuac y la masacre en Acteal Chiapas donde fueron asesinados niños y mujeres con una saña bestial así como los miles de casos que quedan en el anonimato de mujeres niñas y jóvenes que sufren vejaciones de todo tipo. En México como en la mayoría de las sociedades las mujeres y las niñas son sujeto de abusos sexuales físicos sexual y sociológico que no distinguen ni clase ni cultura ni posición social. En nuestro país se ha extendido lo que se ha denominado la feminización de la pobreza es decir es en las mujeres en donde se concentran
